CASES	LEFT	NODE	RIGHT	TRANSLATION	INCLUSION	TRANSLATION_NODE	CXN_ENG	CXN_IDN	TRANSLATION_POS	VOICE_ENG	VOICE_IDN	CLAUSE_TYPE_ENG	FINITENESS_ENG	ROLE_ENG_THIEF	SYN_ENG_THIEF	LEX_ENG_THIEF	SEM_ENG_THIEF	ANIMACY_ENG_THIEF	ROLE_ENG_TARGET	SYN_ENG_TARGET	LEX_ENG_TARGET	SEM_ENG_TARGET	TYPE_ENG_TARGET	ANIMACY_ENG_TARGET	ROLE_ENG_GOODS	LEX_ENG_GOODS	SEM_ENG_GOODS	ANIMACY_ENG_GOODS	SYN_ENG_GOODS	ROLE_IDN_THIEF	SYN_IDN_THIEF	LEX_IDN_THIEF	SEM_IDN_THIEF	ANIMACY_IDN_THIEF	ROLE_IDN_TARGET	SYN_IDN_TARGET	LEX_IDN_TARGET	SEM_IDN_TARGET	TYPE_IDN_TARGET	ANIMACY_IDN_TARGET	ROLE_IDN_GOODS	LEX_IDN_GOODS	SEM_IDN_GOODS	ANIMACY_IDN_GOODS	SYN_IDN_GOODS
123	Rivals	robbed	his bank last year.	Saingannya mencuri uangnya tahun lalu.	NA	mencuri	TARGET-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	rivals	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	saingannya	HUMAN	animate	TRUE	possessive_determiner	-nya	HUMAN	victim	animate	TRUE	uang	ASSETS	inanimate	direct_object
124	We	robbed	his banks and were hunted as outlaws.	{f: Verdana{s:24}{c:$FFFFFF}Mereka merampok Bank mereka, {f:	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	we	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	mereka	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
127	Exactly! I feel like I'm watching myself get	robbed	in broad daylight!	Aku merasa kerampokan di depan mataku sendiri di siang bolong!	NA	kerampokan	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	FALSE	FALSE	NA	NA	HUMAN	NA	TRUE	passive_subject	I	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	aku	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
133	You forget they	robbed	me of mine.	Kau lupa mereka mengambil pikiranku.	NA	mengambil	TARGET-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	they	HUMAN	animate	TRUE	direct_object	me	HUMAN	victim	animate	TRUE	mine	ASSETS	inanimate	PP_complement	TRUE	AV_gr_subj	mereka	HUMAN	animate	TRUE	possessive_determiner	-ku	HUMAN	victim	animate	TRUE	pikiran	ABSTRACTION	inanimate	direct_object
134	Vronsky has	robbed	me of my cloak and I will give him my coat.	Vronsky telah merampas jubahku, Aku akan memberinya mantel.	NA	merampas	TARGET-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	Vronsky	HUMAN	animate	TRUE	direct_object	me	HUMAN	victim	animate	TRUE	cloak	GARMENT	inanimate	PP_complement	TRUE	AV_gr_subj	Vronsky	HUMAN	animate	TRUE	possessive_determiner	-ku	HUMAN	victim	animate	TRUE	jubah	GARMENT	inanimate	direct_object
137	"""- You"	robbed	me of my prime.	"""- Anda merampok saya."	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	you	HUMAN	animate	TRUE	direct_object	me	HUMAN	victim	animate	TRUE	prime	ABSTRACTION	inanimate	PP_complement	TRUE	AV_gr_subj	Anda	HUMAN	animate	TRUE	direct_object	saya	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
142	That's two women who	robbed	me. Where is she?	Berarti dua wanita yang merampokku.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	interrogative	TRUE	TRUE	AV_gr_subj_in_RelCl	women	HUMAN	animate	TRUE	direct_object	me	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj_in_RelCl	wanita	HUMAN	animate	TRUE	encliticised_direct_object	-ku	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
147	Emergency announcement: The 6 criminals who	robbed	nova bank were involved in a standoff with police and arrested. 2 were killed.	Pengumuman Darurat, 6 penjahat yang merampok Bank Nova terlibat dalam pertikaian dengan polisi dan ditangkap. 2 tewas.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj_in_RelCl	criminals	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj_in_RelCl	penjahat	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
151	We're like kids	robbed	of our own country.	Kita seperti anak-anak dirampok negara kita sendiri.	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	kids	HUMAN	victim	animate	TRUE	country	HUMAN	inanimate	PP_complement	TRUE	NA	negara	PLACE	inanimate	TRUE	passive_subject	anak-anak	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
152	Or because he just got	robbed	of two million dollars at gunpoint.	Atau karena ia baru saja dirampok dua juta dolar di bawah todongan senjata.	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	he	HUMAN	victim	animate	TRUE	N dollars	ASSETS	inanimate	PP_complement	FALSE	NA	NA	NA	NA	TRUE	passive_subject	ia	HUMAN	victim	animate	TRUE	N dollars	ASSETS	inanimate	oblique
156	Something Sonia Bern kept in the bank that was	robbed	over the weekend.	Sesuatu Sonia Bern disimpan di bank yang dirampok selama akhir pekan.	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
157	Then you should've thought about that before you	robbed	people!	Seharusnya kau memikirkan itu sebelum kau merampok orang lain!	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	you	HUMAN	animate	TRUE	direct_object	people	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	kau	HUMAN	animate	TRUE	direct_object	orang	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
158	A jewelry factory was	robbed	Repeated rumors live shots	Sebuah pabrik perhiasan dirampok rumor berulang hidup tembakan	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	factory	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	pabrik	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
159	Some coincidence, I mean, you asking to have your party here, and Hunt getting	robbed	right next door and by the same guy who rescued us at the warehouse.	Sungguh kebetulan, Maksudku, kau minta pestanya diadakan di sini. Dan Hunt dirampok tepat di seberang kita oleh orang yang sama yang menyelamatkan kita.	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	TRUE	passive_AGENT	guy	HUMAN	animate	TRUE	passive_subject	Hunt	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	TRUE	passive_AGENT	orang	HUMAN	animate	TRUE	passive_subject	Hunt	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
162	Somebody done	robbed	that bank before we robbed it.	Ada orang yang merampok bank itu sebelum kami merampoknya.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	somebody	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	orang	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
167	"""- I"	robbed	the Bank of England.	"""- Aku yang mencuri Bank Inggris."	NA	mencuri	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	I	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	aku	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
170	I did get	robbed	the other day.	Aku juga hampir dirampok beberapa hari lalu.	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	I	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	aku	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
173	Fucking	robbed	the store for sixty some odd dollars.	Merampok toko demi 60 dolar.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	direct_object	store	PLACE	source	inanimate	TRUE	N dollars	ASSETS	inanimate	PP_complement	FALSE	NA	NA	NA	NA	TRUE	direct_object	toko	PLACE	source	inanimate	TRUE	N dollars	ASSETS	inanimate	PP_complement
174	She thought they had just	robbed	the store.	Dia kira mereka perampok toko itu.	NA	perampok	TARGET-OBJ	NOM-MODIFIER	noun	AV	NOMINAL	declarative	TRUE	TRUE	AV_gr_subj	they	HUMAN	animate	TRUE	direct_object	store	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	mereka	HUMAN	animate	TRUE	nominal_modifier	toko	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
176	They	robbed	the vault.	Mereka merampok lemari besi.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	they	HUMAN	animate	TRUE	direct_object	vault	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	mereka	HUMAN	animate	TRUE	direct_object	lemari besi	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
177	All I know is Briggs	robbed	the wrong store.	Yang kutahu adalah Briggs merampok toko yang salah.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	Briggs	HUMAN	animate	TRUE	direct_object	store	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	Briggs	HUMAN	animate	TRUE	direct_object	toko	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
178	He	robbed	them banks because he liked it.	Dia merampok bank karena dia menyukainya.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	he	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	dia	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
179	"""- You"	robbed	Tres Cruces?	Kau merampok Tres Cruces ?	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	interrogative	TRUE	TRUE	AV_gr_subj	you	HUMAN	animate	TRUE	direct_object	Tres Cruces	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	kau	HUMAN	animate	TRUE	direct_object	Tres Cruces	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
181	During which time the Ex-Presidents... have	robbed	two more banks!	Selama itu Mantan Presiden... merampok dua bank lagi!	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	Ex-Presidents	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	mantan presiden	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
184	Once everyone knows that Jesse Pinkman drug lord, can be	robbed	with impunity.	"Sekali orang dengar ""Jesse Pinkman Dewa Drugs, bisa dirampok dengan leluasa."""	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	Jesse Pinkman	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	Jesse Pinkman	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
187	I never	robbed	you!	Tapi aku tidak pernah merampokmu!	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	I	HUMAN	animate	TRUE	direct_object	you	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	aku	HUMAN	animate	TRUE	encliticised_direct_object	-mu	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
192	I'll tell you who	robbed	your bookies.	Akan kuberitahu siapa yang merampok rumah taruhan kalian.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	direct_object	bookies	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	direct_object	rumah taruhan	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
195	And out of everyone you could have picked to	rob	, you pick me.	Dan dari ke semua orang itu, kau merampokku.	NA	merampok	INTR	TARGET-OBJ	verb	AV	AV	declarative	FALSE	TRUE	AV_gr_subj	you	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	kau	HUMAN	animate	TRUE	encliticised_direct_object	-ku	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
197	Now who here has a bank they would like us to	rob	?	Siapa pemilik bank di sini yang banknya ingin kami rampok?	NA	rampok	TARGET-OBJ	TARGET-SUBJ-PASS	verb	AV	OV	interrogative	FALSE	TRUE	AV_gr_subj_in_SubCl	us	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	OV_logical_subj	kami	HUMAN	animate	TRUE	OV_gr_subj	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
198	Is there any more good places we can	rob	?	Apa ada tempat yang lebih baik kami dapat merampok?	NA	merampok	TARGET-OBJ	TARGET-SUBJ-PASS	verb	AV	OV	interrogative	TRUE	TRUE	AV_gr_subj	we	HUMAN	animate	TRUE	direct_object	place	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	OV_logical_subj	kami	HUMAN	animate	TRUE	OV_gr_subj	tempat	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
199	Why did you	rob	? Tell me?	Kenapa kau merampok?	NA	merampok	INTR	INTR	verb	AV	AV	interrogative	TRUE	TRUE	AV_gr_subj	you	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	kau	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
200	I saw you holding a gun and ready to	rob	.	Aku lihat kau pegang senjata dan sedia merampok.	NA	merampok	INTR	INTR	verb	AV	AV	declarative	FALSE	TRUE	AV_gr_subj	you	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	kau	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
202	Typical stop and	rob	.	Perampokan yang khas, berhenti dan merampok.	NA	merampok	NOMINAL	NOMINAL	verb	NOMINAL	AV	declarative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
206	"""- You want to"	rob	'em?	Kau ingin merampok mereka?	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	interrogative	FALSE	TRUE	AV_gr_subj	you	HUMAN	animate	TRUE	direct_object	'em	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	kau	HUMAN	animate	TRUE	direct_object	mereka	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
208	If we got pistols, we can	rob	~	Jika adalah pistol masih bisa digunakan 'tuk merampok	NA	merampok	INTR	INTR	verb	AV	AV	declarative	FALSE	TRUE	AV_gr_subj	we	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
211	Should we	rob	a bank or a supermarket? Bullshit.	Haruskah kita merampok bank atau supermarket?	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	interrogative	TRUE	TRUE	AV_gr_subj	we	HUMAN	animate	TRUE	direct_object	bank_or_supermarket	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	kita	HUMAN	animate	TRUE	direct_object	bank_atau_supermarket	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
214	"""Give a man a gun and he can"	rob	"a bank, but give a man a bank, and he can rob the world."""	"""Berikan seorang pria senjata maka ia bisa merampok sebuah bank, tapi memberikan seorang pria bank, maka dia bisa merampok seisi dunia."""	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	he	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	ia	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
215	If you're gonna	rob	a bank, Frankie... You fucking go in, you empty the tills, then you run out, you fucking drive like fuck.	Jika kau merampok bank, Frankie... kau masuk kesana, kau kuras brankasnya, lalu kau melarikan diri dan menyetir seperti kesetanan.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	you	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	kau	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
216	If I'm going to	rob	a bank, I'm going to do it properly.	Jika saya akan merampok bank, Saya akan melakukannya dengan benar.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	I	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	saya	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
217	Holy crap, what, did you	rob	a bank?	Astaga, apa kau merampok bank?	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	interrogative	TRUE	TRUE	AV_gr_subj	you	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	kau	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
218	What did you two,	rob	a bank?	Apa pekerjaan kalian, merampok bank?	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	interrogative	FALSE	TRUE	AV_gr_subj	you	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	NA	kalian	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
220	Why would a brilliant structural engineer	rob	a bank?	Mengapa sarjana pembangunan yg pintar merampok bank?	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	interrogative	TRUE	TRUE	AV_gr_subj	engineer	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj_in_RelCl	sarjana	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
224	"""I could"	rob	a bank.	"""Saya bisa merampok bank."	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	I	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	saya	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
225	What I'd like to know is how you	rob	a bank... without opening any doors.	Yang aku ingin tahu bagaimana kamu bisa merampok bank... tanpa membuka pintu.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	you	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	kamu	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
226	It's kind of fuck up to	rob	a blind guy, isn't it?	Kita mencuri di rumah orang buta?	NA	mencuri	TARGET-OBJ	INTR	verb	AV	AV	declarative	FALSE	FALSE	NA	NA	NA	NA	TRUE	direct_object	guy	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	kita	HUMAN	animate	TRUE	possessive_determiner	orang	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
227	The truck, it was just used to	rob	a blood bank.	Truknya, Baru saja dipakai untuk mencuri di Bank Darah.	NA	mencuri	TARGET-OBJ	INTR	verb	AV	AV	declarative	FALSE	FALSE	NA	NA	NA	NA	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	pp_complement	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
229	I traveled all the way across the country to	rob	a goddamn charity?	Aku berjalan mengelilingi kota untuk merampok badan amal?	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	interrogative	FALSE	TRUE	AV_gr_subj	I	HUMAN	animate	TRUE	direct_object	charity	HUMAN	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	aku	HUMAN	animate	TRUE	direct_object	badan amal	HUMAN	source	inanimate	FALSE	NA	NA	NA	NA
230	Don't	rob	a motherfucking bank without a motherfucking mask.	Jangan merampok bank, sialaan tanpa masker, sialan	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	imperative	FALSE	FALSE	NA	NA	NA	NA	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
233	Well, generally I	rob	balconies.	Nah, biasanya aku merampok balkon.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	I	HUMAN	animate	TRUE	direct_object	balconies	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	aku	HUMAN	animate	TRUE	direct_object	balkon	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
235	I don't	rob	banks.	Aku tidak merampok bank.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	I	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	aku	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
236	So you	rob	banks. That's impressive. What?	Jadi... .. Anda merampok bank.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	you	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	Anda	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
238	I spent spent many years learning how to	rob	from magicians.	Aku menghabiskan bertahun-tahun belajar cara mencuri dari penyihir.	NA	mencuri	INTR	INTR	verb	AV	AV	declarative	FALSE	TRUE	AV_gr_subj	I	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	aku	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
240	"""- We"	rob	her advantage.	"""- Kami merampok keuntungan-nya."	NA	merampok	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	we	HUMAN	animate	TRUE	possessive_determiner	her	HUMAN	victim	animate	TRUE	advantage	ABSTRACTION	inanimate	direct_object	TRUE	AV_gr_subj	kami	HUMAN	animate	TRUE	possessive_determiner	-nya	HUMAN	victim	animate	TRUE	keuntungan	ASSETS	inanimate	direct_object
242	Why don't we break into his home,	rob	"him, and murder him?"""	"Mengapa kita tidak masuk ke nya rumah, merampok dia, dan membunuhnya? """	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	interrogative	TRUE	TRUE	AV_gr_subj	we	HUMAN	animate	TRUE	direct_object	him	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	kita	HUMAN	animate	TRUE	direct_object	dia	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
244	He's afraid a thief will	rob	his house.	Dia adalah ketakutan satu pencuri akan merampok rumah nya.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	thief	HUMAN	animate	TRUE	direct_object	house	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	pencuri	HUMAN	animate	TRUE	direct_object	rumah	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
247	They're all looking to	rob	me blind 24 hours a day.	Mereka mencoba merampok ku selama 24 jam dalam sehari.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	FALSE	TRUE	AV_gr_subj	they	HUMAN	animate	TRUE	direct_object	me	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	mereka	HUMAN	animate	TRUE	encliticised_direct_object	-ku	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
248	You could	rob	me blind.	Kau bisa merampokku habis-habisan.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	you	HUMAN	animate	TRUE	direct_object	me	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	kau	HUMAN	animate	TRUE	encliticised_direct_object	-ku	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
